apply	pared	public	gpa	apply_cat
somewhat likely	0	0	2.78	2
unlikely	0	0	2.9400001	1
unlikely	1	0	3.22	1
unlikely	0	0	3.5	1
very likely	1	0	3.5699999	3
somewhat likely	0	0	3.1700001	2
unlikely	0	1	3.23	1
unlikely	0	0	2.9100001	1
unlikely	0	0	3.28	1
unlikely	0	1	3.3199999	1
unlikely	0	0	3.6199999	1
unlikely	0	0	2.55	1
unlikely	0	0	2.97	1
very likely	1	0	3.6300001	3
unlikely	0	1	3.02	1
unlikely	0	1	3.5999999	1
unlikely	0	0	2.95	1
very likely	1	1	3.8099999	3
somewhat likely	1	0	2.6800001	2
unlikely	1	0	3.72	1
unlikely	0	0	2.49	1
unlikely	0	0	2.72	1
unlikely	1	0	2.25	1
unlikely	0	0	2.53	1
unlikely	0	0	3.26	1
very likely	0	0	2.5699999	3
unlikely	0	0	2.9000001	1
unlikely	0	0	3.05	1
somewhat likely	0	0	2.8499999	2
somewhat likely	0	0	4	2
very likely	1	0	3.4000001	3
somewhat likely	0	1	3.24	2
unlikely	0	1	3.51	1
very likely	0	0	2.55	3
unlikely	0	0	3.0599999	1
very likely	0	0	3	3
somewhat likely	0	0	3.1300001	2
unlikely	0	0	3.1600001	1
somewhat likely	0	0	2.47	2
somewhat likely	0	0	2.8900001	2
unlikely	0	0	2.74	1
unlikely	0	0	3.1600001	1
unlikely	0	0	2.9200001	1
somewhat likely	0	0	3.5699999	2
somewhat likely	1	0	3.49	2
somewhat likely	0	1	2.5599999	2
somewhat likely	1	0	3.1199999	2
somewhat likely	1	0	2.6500001	2
somewhat likely	0	0	2.51	2
somewhat likely	0	0	3.0799999	2
somewhat likely	0	0	2.6500001	2
unlikely	0	0	2.99	1
unlikely	0	0	2.6300001	1
somewhat likely	0	0	2.8	2
somewhat likely	0	1	3.46	2
unlikely	0	0	3.6099999	1
unlikely	0	0	3.0799999	1
unlikely	1	0	3.28	1
unlikely	0	1	3.3099999	1
unlikely	0	0	2.5699999	1
somewhat likely	0	0	3.3900001	2
unlikely	0	0	2.26	1
unlikely	0	0	2.4200001	1
unlikely	0	0	2.5999999	1
somewhat likely	1	1	3.4400001	2
somewhat likely	0	0	2.98	2
somewhat likely	1	0	3.0899999	2
unlikely	0	1	3.3399999	1
unlikely	0	0	2.8399999	1
unlikely	0	0	2.8099999	1
unlikely	0	0	2.79	1
unlikely	0	0	2.4000001	1
unlikely	0	0	3.02	1
somewhat likely	0	0	2.6500001	2
somewhat likely	0	0	2.55	2
somewhat likely	1	0	3.1199999	2
unlikely	0	0	2.98	1
very likely	1	0	3.6099999	3
unlikely	0	0	2.98	1
unlikely	0	0	3.1900001	1
unlikely	0	0	3.51	1
unlikely	0	0	3.0999999	1
unlikely	0	0	3.55	1
unlikely	0	0	2.98	1
very likely	0	0	2.99	3
unlikely	0	0	3.05	1
unlikely	0	0	2.99	1
unlikely	0	0	2.3199999	1
unlikely	0	0	2.5	1
unlikely	0	1	2.9000001	1
very likely	1	1	3.28	3
somewhat likely	0	0	2.95	2
somewhat likely	0	0	3.54	2
somewhat likely	0	0	3.1099999	2
unlikely	1	0	3.25	1
unlikely	0	0	2.4400001	1
unlikely	0	0	2.1300001	1
somewhat likely	0	0	3.22	2
somewhat likely	0	0	3.1600001	2
unlikely	0	0	3.3900001	1
somewhat likely	0	0	2.7	2
somewhat likely	0	0	3.0899999	2
somewhat likely	0	0	3.1600001	2
unlikely	0	0	2.28	1
unlikely	0	0	2.9100001	1
unlikely	0	0	3.6500001	1
unlikely	0	0	2.8599999	1
unlikely	0	1	3.3900001	1
unlikely	0	0	3.71	1
unlikely	0	0	3.25	1
unlikely	0	0	3.1400001	1
unlikely	0	0	2.4100001	1
somewhat likely	0	0	3.0799999	2
unlikely	0	1	3.02	1
somewhat likely	0	0	3.1500001	2
very likely	0	0	2.95	3
unlikely	0	0	2.22	1
somewhat likely	0	0	2.8599999	2
somewhat likely	1	0	2.8800001	2
very likely	0	0	2.6199999	3
unlikely	0	0	3.3699999	1
somewhat likely	0	0	3.51	2
somewhat likely	0	0	3.6500001	2
very likely	1	0	3.4200001	3
very likely	0	0	2.4100001	3
very likely	0	1	3.21	3
unlikely	0	0	3.22	1
unlikely	0	0	2.53	1
somewhat likely	0	0	2.6400001	2
unlikely	0	0	2.9400001	1
somewhat likely	0	0	2.5599999	2
unlikely	0	1	3.1199999	1
somewhat likely	0	0	3.3399999	2
unlikely	0	0	3.22	1
somewhat likely	0	0	3.05	2
somewhat likely	0	0	3.29	2
somewhat likely	0	0	2.71	2
unlikely	0	0	2.8699999	1
unlikely	0	0	3.29	1
unlikely	0	0	3.3599999	1
unlikely	1	1	2.8499999	1
unlikely	0	0	2.79	1
somewhat likely	0	0	3.6900001	2
very likely	0	0	3.5599999	3
unlikely	0	0	3.52	1
unlikely	1	1	3.3800001	1
very likely	0	1	3.1099999	3
somewhat likely	1	0	3.2	2
unlikely	0	0	2.8299999	1
unlikely	0	0	3.0799999	1
very likely	0	1	2.97	3
unlikely	0	0	2.6400001	1
unlikely	0	0	2.47	1
very likely	0	0	3.0699999	3
somewhat likely	0	0	3.2	2
unlikely	0	0	2.55	1
unlikely	0	0	2.48	1
unlikely	0	0	3.29	1
somewhat likely	0	0	2.6400001	2
somewhat likely	0	0	3.22	2
somewhat likely	1	0	2.8	2
somewhat likely	0	0	3.6199999	2
unlikely	0	0	2.6199999	1
somewhat likely	0	1	3.04	2
unlikely	0	1	2.49	1
unlikely	0	1	3.0999999	1
very likely	1	0	3.1500001	3
somewhat likely	0	0	2.6500001	2
unlikely	0	0	3.04	1
unlikely	0	1	3.05	1
unlikely	0	0	2.8800001	1
somewhat likely	0	0	2.8599999	2
somewhat likely	0	0	3	2
unlikely	0	0	2.23	1
unlikely	0	1	3.1400001	1
unlikely	0	0	2.6700001	1
unlikely	0	0	3.1099999	1
somewhat likely	0	0	3.73	2
somewhat likely	0	0	2.45	2
unlikely	0	0	3.04	1
unlikely	0	0	2.4000001	1
somewhat likely	0	0	3.4300001	2
somewhat likely	0	0	2.5699999	2
unlikely	0	0	2.8399999	1
unlikely	0	0	2.6700001	1
very likely	1	1	3.45	3
somewhat likely	1	0	2.8800001	2
somewhat likely	0	0	2.78	2
unlikely	0	0	3.22	1
unlikely	1	0	3.3	1
somewhat likely	1	0	2.8599999	2
somewhat likely	0	0	2.8299999	2
somewhat likely	0	0	3.7	2
somewhat likely	0	0	3.1500001	2
somewhat likely	1	1	3.0799999	2
unlikely	0	0	2.9200001	1
unlikely	0	0	2.8900001	1
very likely	1	0	3.53	3
unlikely	0	0	3.0999999	1
somewhat likely	1	0	3.3599999	2
somewhat likely	0	0	2.74	2
somewhat likely	0	0	2.73	2
unlikely	1	0	2.72	1
unlikely	0	0	3.53	1
unlikely	1	0	3.45	1
unlikely	0	0	2.98	1
somewhat likely	0	0	2.8800001	2
very likely	1	0	3.21	3
unlikely	0	0	3.0599999	1
unlikely	0	0	2.4000001	1
somewhat likely	0	0	3.5699999	2
unlikely	1	0	2.8800001	1
unlikely	0	0	3.27	1
unlikely	0	0	2.9200001	1
very likely	0	0	2.7	3
somewhat likely	1	0	2.53	2
somewhat likely	0	0	3.3800001	2
unlikely	0	0	3.1600001	1
somewhat likely	0	0	2.5999999	2
unlikely	0	0	2.76	1
unlikely	0	0	3.5599999	1
unlikely	0	0	2.8699999	1
somewhat likely	1	0	2.99	2
unlikely	0	0	2.6800001	1
unlikely	0	0	2.99	1
somewhat likely	0	0	2.96	2
unlikely	1	1	2.77	1
somewhat likely	0	0	3.28	2
unlikely	0	1	2.74	1
unlikely	0	0	1.9	1
unlikely	0	0	3.05	1
somewhat likely	0	1	2.4400001	2
somewhat likely	0	0	3.3299999	2
somewhat likely	0	1	3.5599999	2
unlikely	0	0	2.1500001	1
unlikely	0	0	2.8299999	1
somewhat likely	0	0	2.79	2
somewhat likely	0	0	2.72	2
very likely	1	0	3.04	3
unlikely	0	1	3.03	1
unlikely	0	0	2.8800001	1
somewhat likely	0	0	3.21	2
unlikely	0	0	2.74	1
unlikely	0	0	3.5699999	1
somewhat likely	0	0	2.4300001	2
unlikely	0	0	3.1099999	1
unlikely	0	0	2.76	1
somewhat likely	0	0	3.1300001	2
unlikely	0	0	2.75	1
unlikely	0	0	2.5999999	1
unlikely	0	0	3.6700001	1
unlikely	0	0	3.26	1
unlikely	0	0	3.4100001	1
very likely	0	0	3.24	3
unlikely	0	0	3.05	1
somewhat likely	1	0	2.3800001	2
somewhat likely	0	0	2.6099999	2
somewhat likely	1	1	3.1800001	2
unlikely	0	0	3.3399999	1
somewhat likely	0	0	2.8399999	2
unlikely	0	0	2.8	1
unlikely	0	0	3.21	1
unlikely	0	0	2.6300001	1
unlikely	0	0	2.3099999	1
unlikely	0	0	2.29	1
unlikely	0	0	3.51	1
somewhat likely	0	0	2.8699999	2
unlikely	0	0	3.0899999	1
somewhat likely	1	0	2.8800001	2
unlikely	1	0	2.47	1
somewhat likely	0	1	3.72	2
unlikely	0	0	3.2	1
somewhat likely	0	0	2.5699999	2
unlikely	0	0	3.05	1
unlikely	0	0	3.27	1
unlikely	0	0	3.3	1
unlikely	0	0	2.73	1
unlikely	1	0	2.6300001	1
unlikely	0	0	2.77	1
unlikely	0	0	3.1500001	1
unlikely	0	0	2.8499999	1
unlikely	0	0	2.25	1
somewhat likely	0	0	3.5599999	2
unlikely	0	0	2.7	1
very likely	0	0	2.9400001	3
somewhat likely	1	0	2.5799999	2
somewhat likely	0	0	2.97	2
very likely	0	0	3.3800001	3
very likely	0	0	2.96	3
unlikely	0	0	2.4400001	1
somewhat likely	0	1	3.75	2
somewhat likely	0	0	3.0699999	2
somewhat likely	0	0	2.72	2
unlikely	0	0	3.1300001	1
unlikely	0	0	3.3900001	1
unlikely	0	1	2.3800001	1
somewhat likely	0	0	2.8699999	2
unlikely	0	1	2.9100001	1
very likely	1	0	3.25	3
somewhat likely	1	1	3.51	2
unlikely	1	0	3.6500001	1
somewhat likely	0	0	3.1099999	2
very likely	0	0	2.71	3
unlikely	0	0	3.05	1
unlikely	0	0	2.9300001	1
somewhat likely	0	0	2.3499999	2
somewhat likely	0	0	2.49	2
unlikely	0	0	3.26	1
unlikely	0	0	3.77	1
unlikely	0	1	3.49	1
unlikely	0	0	3.3900001	1
unlikely	0	0	3.3699999	1
unlikely	0	0	1.98	1
unlikely	1	0	2.9300001	1
unlikely	0	0	3.3599999	1
unlikely	0	0	3.1199999	1
somewhat likely	0	0	3.23	2
somewhat likely	0	1	3.9000001	2
unlikely	0	0	2.7	1
unlikely	0	0	2.3399999	1
unlikely	0	0	3.3	1
somewhat likely	0	0	3.1099999	2
unlikely	0	0	3.1400001	1
somewhat likely	1	0	3.6800001	2
somewhat likely	0	0	2.22	2
unlikely	0	0	2.6099999	1
somewhat likely	0	1	3.48	2
very likely	0	0	3.0799999	3
unlikely	0	0	2.79	1
unlikely	0	0	3.1199999	1
unlikely	0	1	2.6700001	1
somewhat likely	0	0	3.54	2
very likely	0	0	2.98	3
somewhat likely	1	0	3.3199999	2
somewhat likely	1	0	3.54	2
unlikely	0	0	3.7	1
unlikely	0	0	2.6300001	1
somewhat likely	0	0	2.25	2
somewhat likely	0	0	3.26	2
very likely	0	0	3.52	3
